Dimension, Name, R2, MAE
0, Payload Mass, 0.578031, 0.545781
1, COM X, 0.770839, 0.402902
2, COM Y, 0.749226, 0.394664
3, COM Z, 0.456558, 0.641890
4, Inertia Ixx, 0.562949, 0.543771
5, Inertia Iyy, 0.559275, 0.547296
6, Inertia Izz, 0.572059, 0.549923
7, Motor Thrust K, -0.781167, 1.031725
8, Motor Time Const, -0.305710, 5.557845
9, Drag Lin X, 0.806058, 0.350708
10, Drag Lin Y, 0.821595, 0.334501
11, Drag Lin Z, 0.815252, 0.338680
12, Drag Ang X, 0.955853, 0.153874
13, Drag Ang Y, 0.957765, 0.152438
14, Drag Ang Z, 0.956705, 0.152308
15, Wind Force X, 0.850681, 0.317597
16, Wind Force Y, 0.476703, 0.595892
17, Wind Force Z, 0.510796, 0.590154
