Dimension, Name, R2, MAE
0, Payload Mass, 0.963106, 0.148552
1, COM X, 0.940520, 0.186445
2, COM Y, 0.588443, 0.520978
3, COM Z, 0.958020, 0.159533
4, Inertia Ixx, 0.932461, 0.189251
5, Inertia Iyy, 0.928187, 0.193775
6, Inertia Izz, 0.961933, 0.150114
7, Motor Thrust K, -1.772470, 1.284232
8, Motor Time Const, -0.326081, 4.825005
9, Drag Lin X, 0.963842, 0.146707
10, Drag Lin Y, 0.964523, 0.145077
11, Drag Lin Z, 0.962642, 0.149435
12, Drag Ang X, 0.974778, 0.119024
13, Drag Ang Y, 0.974410, 0.120472
14, Drag Ang Z, 0.974591, 0.118709
15, Wind Force X, 0.969212, 0.276174
16, Wind Force Y, 0.929389, 0.404232
17, Wind Force Z, 0.967502, 0.272146
